"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","entrez_id"
"0610009B22Rik",15.6167762454376,1.93684436100429,1.95122284377143,NA,NA,66050
"0610010F05Rik",7.68366584068798,0.162306091393038,1.15625994064145,0.169390272596784,0.217414162743939,71675
"0610012G03Rik",16.0562993617343,0.173700947548976,0.992895797436076,0.00756834428049333,0.0138839671995533,106264
"0610030E20Rik",12.0082497284747,0.133650185983527,1.01718115563091,0.000175035050336422,0.000472115592612681,68364
"0610040J01Rik",16.0264412463093,-0.311006472021908,0.512460730622956,0.245964340647521,0.300009056776089,76261
"1110004F10Rik",31.8340828611652,0.271690261051855,0.96035519645178,0.539783267409954,0.596386962923105,56372
"1110008P14Rik",8.59943131447788,0.441603229827273,0.945353249627962,0.0314947220182973,0.0489406728097287,73737
"1110032A03Rik",10.7057460143203,-0.5755836818392,0.588189621320786,0.000472199704267945,0.00115432181881173,68721
"1110038B12Rik",4.92645334505786,0.0566169016574393,1.03581831936832,0.0120600609011478,0.0209822786889605,NA
"1110038F14Rik",11.1927793906859,-0.949443186790893,0.522277514104853,NA,NA,117171
"1110059E24Rik",15.5315397523747,0.047387839543686,1.1276786668228,0.0135232788991638,0.0231260343374382,66206
"1110059G10Rik",18.7663926140101,-0.843285459262079,0.484022704987498,NA,NA,66202
"1300002E11Rik",3.67232062351305,0.0875764315382438,1.17367505751347,NA,NA,NA
"1500004A13Rik",1.30999017548933,0.341314280480993,1.24721950298811,NA,NA,NA
"1500011B03Rik",5.30916950946003,0.111361326018974,1.01063847345364,0.0151436120922053,0.0256301133586967,330173
"1600010M07Rik",6.74178242857224,0.981770501662797,1.28026152788917,0.000123368810742492,0.000344958795991447,NA
"1600012H06Rik",10.918515182646,0.0981029440425284,1.13457218350728,NA,NA,67912
"1600014C10Rik",39.1129441854451,1.35033431988056,0.963448860954951,0.2605257312372,0.31560662524688,72244
"1600020E01Rik",8.79446239408161,0.176233990641154,0.904310930798377,3.67959094103186e-06,1.41740586700241e-05,NA
"1700012D01Rik",1.14659154796629,0.498666739952895,1.36738588525276,0.811950841442765,0.846462457985688,NA
"1700017B05Rik",9.23213592488832,0.138872419274198,1.07082766671071,0.0859217777686854,0.119344082477493,74211
"1700025G04Rik",1.41441011352873,7.86860121699393,2.7548051879213,NA,NA,69399
"1700037C18Rik",2.32346113539395,0.546609062568197,1.03378085975397,NA,NA,73261
